date,index,bnw_bfk_tfp_util,bnw_percap_rsp_end,bnw_percap_c,bnw_expost_ffr_mon,bnw_percap_h,bnw_percap_iv,bnw_percap_y,bnw_cpih_inf_an
2007.4,212,0.829697846,-10.41591925,-3.363009726,-0.005854519,-7.729918409,-4.697653838,-3.089574148,0.048254519
2008.1,213,0.823236689,-10.53077322,-3.361831847,-0.017664761,-7.732216608,-4.72959193,-3.096982893,0.043764761
2008.2,214,0.831522889,-10.57914021,-3.363850335,-0.031855028,-7.7396658,-4.747720812,-3.098983693,0.051855028
2008.3,215,0.834483283,-10.69061871,-3.373617213,-0.043941013,-7.754325827,-4.795840239,-3.115769222,0.062041013
2008.4,216,0.838955229,-10.92541761,-3.382641766,0.097171346,-7.781567134,-4.902315253,-3.15087541,-0.095571346
2009.1,217,0.849753706,-11.04373636,-3.3880817,0.026232801,-7.807738139,-5.060169274,-3.173417001,-0.024432801
2009.2,218,0.866813989,-10.90914617,-3.394498257,-0.016995984,-7.832048893,-5.127067982,-3.178374298,0.019095984
2009.3,219,0.87550968,-10.78130037,-3.396161227,-0.034892121,-7.84727285,-5.12255282,-3.176661426,0.036392121
2009.4,220,0.87979334,-10.73723389,-3.396229574,-0.025338943,-7.850731725,-5.046933009,-3.167212573,0.026538943
2010.1,221,0.872428,-10.69392782,-3.392548401,-0.011119568,-7.849889444,-4.979464655,-3.155875394,0.012719568
2010.2,222,0.85504755,-10.82108582,-3.388865624,0.006835108,-7.843264823,-4.92305462,-3.146454821,-0.005035108
2010.3,223,0.845215183,-10.72529823,-3.386549707,-0.012226389,-7.842820903,-4.903536152,-3.139816453,0.014126389
2010.4,224,0.843271105,-10.63721235,-3.384020778,-0.024287473,-7.841664214,-4.924535824,-3.134415894,0.026087473
